post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold",green-garnet-sapphire-diamond-earrings-in-18k-yellow-gold,,27928,"Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>64pcs round diamonds 0.39ct.</li>
 	<li>16pcs round green garnet 0.25ct.</li>
 	<li>16pcs marquise sapphire 1.43ct.</li>
 	<li>2pcs round sapphire 0.16ct.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-20 10:47:05",2,closed,E28280KY18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28280KY18V01001.jpg ! alt : kaleidoscope inspired earrings in 18k yellow gold sapphire garnet ! title : E28280KY18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/green-garnet-sapphire-diamond-earrings-in-18k-yellow-gold/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings > Stud Earrings|Earrings",Wonderland,,"Diamond|Green garnet|Sapphire",0|0|0,,"Yellow Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Rainbow Sapphire Ruby Diamond Earrings in 18K Rose Gold",rainbow-sapphire-ruby-diamond-earrings-in-18k-rose-gold,,27930,"Rainbow Sapphire Ruby Diamond Earrings in 18K Rose Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>36pcs round diamonds 0.29ct.</li>
 	<li>8pcs marquise ruby 0.78</li>
 	<li>10pcs round ruby 0.34ct.</li>
 	<li>8pcs marquise orange sapphire 0.77ct</li>
 	<li>24pcs round pink sapphire 0.37ct.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-20 10:48:51",2,closed,E28277KP18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28277KP18V01001_ls.jpg ! alt : ruby sapphire diamond earrings in 18k rose gold ! title : E28277KP18V01001_ls ! desc :  ! caption : ",,https://eji.com.hk/product/rainbow-sapphire-ruby-diamond-earrings-in-18k-rose-gold/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings > Stud Earrings|Earrings",Wonderland,,Diamond|Ruby|Sapphire,0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold",rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold,,27932,"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired, rotatable pendant</li>
 	<li>Solid gold</li>
 	<li>18pcs round diamond 0.22ct. tw.</li>
 	<li>4pcs pear ruby 0.69ct. tw.</li>
 	<li>1pcs round ruby 0.21ct.</li>
 	<li>4pcs pear shaped orange sapphire 0.70ct. tw.</li>
 	<li>16pcs round orange sapphire 0.24ct. tw.</li>
 	<li>8pcs marquise pink sapphire 0.69ct. tw.</li>
 	<li>8pcs round pink sapphire 0.34ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-20 11:05:51",2,closed,P28275KP18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28275KP18V01001-min.jpg ! alt : rainbow sapphire diamond necklace in 18k rose gold ! title : P28275KP18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Wonderland,,Diamond|Ruby|Sapphire,0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Green Garnet Sapphire Diamond Necklace in 18K Yellow Gold",green-garnet-sapphire-diamond-necklace-in-18k-yellow-gold,,27935,"Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired, rotating pendant</li>
 	<li>Solid gold</li>
 	<li>40pcs round diamond 0.85ct. tw.</li>
 	<li>4pcs pear shaped green garnet 0.67ct. tw.</li>
 	<li>4pcs round green garnet 0.12ct. tw.</li>
 	<li>4pcs pear shaped sapphire 0.73ct. tw.</li>
 	<li>5pcs round sapphire 0.45ct. tw.</li>
 	<li>8pcs round yellow sapphire 0.19ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-20 12:25:06",2,closed,P28278KY18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28278KY18V01001-min.jpg ! alt : Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold ! title : P28278KY18V01001 - Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold ! desc :  ! caption : ",,https://eji.com.hk/product/green-garnet-sapphire-diamond-necklace-in-18k-yellow-gold/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Wonderland,,"Diamond|Green garnet|Sapphire",0|0|0,,"Yellow Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Blue Topaz Diamond Ring",blue-topaz-diamond-ring,,27967,"Blue Topaz Diamond Ring
<ul>
 	<li>From the Jolly collection</li>
 	<li>19pcs round diamond 0.22ct. tw.</li>
 	<li>1pc blue topaz 8.28ct.</li>
 	<li>1pc blue topaz 0.8ct.</li>
 	<li>Claw/prong setting</li>
 	<li>Cutsomisable</li>
</ul>",,publish,,0,"2022-04-20 15:52:14",2,closed,R39508KW18TB001,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/R39508KW18TB001-1.jpg ! alt :  ! title : R39508KW18TB001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/blue-topaz-diamond-ring/,simple,,"Rings > Diamond Rings|Rings > Gemstones Rings|Rings",jolly,,"Blue Topaz|Diamond",0|1|0,,"Rose Gold|White Gold|Yellow Gold",1|1|0,,"14k 583|18k 750",2|1|0,,Round,3|1|0,,Geometric,4|1|0,
"Swan Blue Topaz Mother of Pearl Diamond Earrings",swan-blue-topaz-mother-of-pearl-diamond-earrings,,28094,"Swan Blue Topaz Mother of Pearl Diamond Earrings
<ul>
 	<li>From the Swan Lake collection</li>
 	<li>18K white gold</li>
 	<li>20pcs round diamonds 1.32ct. tw.</li>
 	<li>2pcs pear shaped blue topaz 0.91ct. tw.</li>
 	<li>4pcs white mother of pearl 1.54ct. tw.</li>
 	<li>Customisable</li>
</ul>
&nbsp;",,publish,,0,"2022-05-12 17:33:57",2,closed,E28176GW18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28176GW18V01001-1.jpg ! alt : Blue Topaz Mother of Pearl Swan Diamond Earrings ! title : E28176GW18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-earrings/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings","Swan Lake",,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,,"White Gold",1|0|0,,"18k 750",2|0|0,,,,,Animal|Nature|Swan,4|0|0,
"Swan Blue Topaz Mother of Pearl Diamond Necklace",swan-blue-topaz-mother-of-pearl-diamond-necklace,,28096,"Swan Blue Topaz Mother of Pearl Diamond Necklace
<ul>
 	<li>From the Swan Lake collection</li>
 	<li>18K white gold</li>
 	<li>109pcs round diamond 1.30ct. tw.</li>
 	<li>1pc pear shaped blue topaz 0.91ct. tw.</li>
 	<li>7pcs white mother of pearl 3.14ct. tw.</li>
 	<li>Customisable</li>
</ul>
&nbsp;",,publish,,0,"2022-04-21 15:55:47",2,closed,E28176GW18V01001-1,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28176GW18V01001-1.jpg ! alt : Blue Topaz mother of pearl diamond necklace ! title : P28176GW18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-necklace/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants","Swan Lake",,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,,"White Gold",1|0|0,,"18k 750",2|0|0,,,,,Animal|Nature|Swan,4|0|0,
"Swan Blue Topaz Mother of Pearl Diamond Ring",swan-blue-topaz-mother-of-pearl-diamond-ring,,28098,"Swan Blue Topaz Mother of Pearl Diamond Ring
<ul>
 	<li>From the Swan Lake collection</li>
 	<li>18K white gold</li>
 	<li>63pcs round diamond 0.59ct. tw.</li>
 	<li>1pc pear shaped blue topaz 0.86ct. tw.</li>
 	<li>3pcs white mother of pearl 1.15ct. tw.</li>
 	<li>Customisable</li>
</ul>
&nbsp;",,publish,,0,"2022-04-21 16:06:30",2,closed,E28176GW18V01001-1-1,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/R28176GW18V01001-1.jpg ! alt : Blue Topaz Mother of Pearl Swan Diamond Ring ! title : R28176GW18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-ring/,simple,,"Rings > Diamond Rings|Rings > Gemstones Rings|Rings","Swan Lake",,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,,"White Gold",1|0|0,,"18k 750",2|0|0,,,,,Animal|Nature|Swan,4|0|0,
"Marquise Sapphire Green Garnet Diamond Necklace in 18K Yellow Gold",marquise-sapphire-green-garnet-diamond-necklace-in-18k-yellow-gold,,28100,"Marquise Sapphire Green Garnet Diamond Necklace in 18K Yellow Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>32pcs round diamonds 0.19ct.</li>
 	<li>8pcs round green garnet 0.12ct.. tw.</li>
 	<li>8pcs marquise sapphire 0.71ct. tw.</li>
 	<li>1pc round sapphire 0.09ct.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-21 16:48:53",2,closed,P28280KY18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28280KY18V01001_web.jpg ! alt :  ! title : P28280KY18V01001_web ! desc :  ! caption : ",,https://eji.com.hk/product/marquise-sapphire-green-garnet-diamond-necklace-in-18k-yellow-gold/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Wonderland,,"Diamond|Green garnet|Sapphire",0|0|0,,"Yellow Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold",rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold-2,,28104,"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>18pcs round diamond 0.15ct. tw.</li>
 	<li>4pcs marquise ruby 0.40ct. tw.</li>
 	<li>5pcs round ruby 0.15ct. tw.</li>
 	<li>4pcs marquise orange sapphire 0.4ct. tw.</li>
 	<li>12pcs round pink sapphire 0.18ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-22 11:50:03",2,closed,P28277KP18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28277KP18V01001.jpg ! alt : Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold ! title : P28277KP18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold-2/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Wonderland,,Diamond|Ruby|Sapphire,0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,Geometric,4|1|0,
"Enamel Dragonfly Green Garnet Yellow Sapphire Diamond Brooch in 18K White Gold",enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold,,28106,"Enamel Dragonfly Green Garnet Yellow Sapphire Diamond Brooch in 18K White Gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>Multi-colour enamel dragonfly</li>
 	<li>86pcs round diamond 0.91ct. tw.</li>
 	<li>2pcs round green garnet 0.16ct. tw.</li>
 	<li>2pcs round yellow sapphire 0.08ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-25 16:21:56",2,closed,P28241GW18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28241GW18V01001_web-1.jpg ! alt : GREEN GARNET YELLOW SAPP DIA ENAMEL BROOCH ! title : P28241GW18V01001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold/,simple,,"Brooches|Brooches > Enamel Brooches","Ethereal Summer",,"Diamond|Enamel|Green garnet|Sapphire",0|0|0,,"White Gold",1|0|0,,"18k 750",2|0|0,,Round,3|0|0,,Animal|Dragonfly|Nature,4|0|0,
"Enamel Dragonfly Rainbow Sapphire Diamond Brooch in 18k Yellow Gold",enamel-dragonfly-rainbow-sapphire-diamond-brooch-in-18k-yellow-gold,,28110,"Enamel Dragonfly Rainbow Sapphire Diamond Brooch in 18k Yellow Gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>Enamel dragonfly</li>
 	<li>Natural diamonds, rainbow sapphire</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-25 16:34:58",2,closed,P28243KY18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28243KY18V01001-1.jpg ! alt :  ! title : P28243KY18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-dragonfly-rainbow-sapphire-diamond-brooch-in-18k-yellow-gold/,simple,,"Brooches|Brooches > Enamel Brooches","Ethereal Summer",,Diamond|Enamel|Sapphire,0|0|0,,"Yellow Gold",1|0|0,,"18k 750",2|0|0,,Round,3|0|0,,Dragonfly|Nature,4|0|0,
"Dragonfly Aquamarine Diamond Brooch in 18K White Gold",dragonfly-aquamarine-diamond-brooch-in-18k-white-gold,,28112,"Dragonfly Aquamarine Diamond Brooch in 18k white gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>1pc pear shaped aquamarine 0.32ct.</li>
 	<li>16pcs baguette diamond 0.47ct. tw.</li>
 	<li>1pc marquise diamond 0.06ct.</li>
 	<li>21pcs round diamond 0.39ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-25 16:46:39",2,closed,P28244GW18AQ001,,,no,no,,4000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28244GW18AQ001_web-1.jpg ! alt : Dragonfly Aquamarine Diamond Brooch ! title : P28244GW18AQ001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/dragonfly-aquamarine-diamond-brooch-in-18k-white-gold/,simple,,Brooches,"Ethereal Summer",,Aquamarine|Diamond,0|1|0,,"White Gold",1|1|0,,"18k 750",2|1|0,,Baguettes|Marquise|Pear|Round,3|1|0,,Dragonfly|Nature,4|1|0,
"Enamel Dragonfly Diamond Brooch in 18K Rose Gold",enamel-dragonfly-diamond-brooch-in-18k-rose-gold,,28114,"Enamel Dragonfly Diamond Brooch in 18K Rose Gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>162pcs round diamond 1.24ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-04-25 16:53:16",2,closed,P28245KP18V01001,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28245KP18V01001_web-1.jpg ! alt : Enamel dragonfly diamond brooch ! title : P28245KP18V01001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-dragonfly-diamond-brooch-in-18k-rose-gold/,simple,,"Brooches|Brooches > Enamel Brooches","Ethereal Summer",,Diamond|Enamel,0|1|0,,"Rose Gold",1|1|0,,"18k 750",2|1|0,,Round,3|1|0,,Animal|Dragonfly|Nature,4|1|0,
"Amethyst Ruby Diamond Necklace",amethyst-ruby-diamond-necklace,,28129,"Amethyst Ruby Diamond Necklace
<ul>
 	<li>From the Vesta collection</li>
 	<li>18K rose gold</li>
 	<li>1pc centre amethyst 16.6ct</li>
 	<li>1pc amethyst 1.15ct.</li>
 	<li>147pcs round diamond 1.55ct. tw.</li>
 	<li>24pcs round ruby 0.24.ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2021-11-27 11:11:21",2,closed,P27753KP18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P27753KP18V01001-1.jpg ! alt : amethyst diamond ruby necklace ! title : P27753KP18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/amethyst-ruby-diamond-necklace/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Vesta,,Amethyst|Diamond|Ruby,0|1|0,,"Rose Gold",1|1|0,,"18k 750",2|1|0,,Round,3|1|0,,,,
"Enamel Sapphire Dragonfly Diamond Brooch in 18K Rose Gold",enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold,,28148,"Enamel Sapphire Dragonfly Diamond Brooch in 18K Rose Gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>45pcs round diamonds 0.36ct. tw.</li>
 	<li>2pcs round pink sapphire 0.10ct. tw.</li>
 	<li>2pcs round purple sapphire 0.04ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-05-10 14:19:10",2,closed,P28242KP18V01,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/05/P28242KP18V01_a.jpg ! alt : enamel sapphire dragon fly diamond brooch ! title : P28242KP18V01_a ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold/,simple,,"Brooches|Brooches > Enamel Brooches","Ethereal Summer",,Diamond|Enamel|Sapphire,0|1|0,,"Rose Gold",1|1|0,,"18k 750",2|1|0,,Round,3|1|0,,Animal|Dragonfly|Nature,4|1|0,
"Enamel Diamond Dragonfly Brooch in 18K White Gold",enamel-diamond-dragonfly-brooch-in-18k-white-gold,,28150,"Enamel Diamond Dragonfly Brooch in 18K White Gold
<ul>
 	<li>From the Ethereal Summer collection</li>
 	<li>Solid gold</li>
 	<li>70pcs round diamonds 0.36ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-05-10 17:20:47",2,closed,P28246KW18V01001,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/05/P28246KW18V01001B_a.jpg ! alt : Enamel Diamond Dragonfly Brooch in 18K White Gold ! title : P28246KW18V01001B_a ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-diamond-dragonfly-brooch-in-18k-white-gold/,simple,,"Brooches|Brooches > Enamel Brooches","Ethereal Summer",,Diamond|Enamel,0|1|0,,"Rose Gold",1|1|0,,"18k 750",2|1|0,,Round,3|1|0,,Animal|Dragonfly|Nature,4|1|0,
"Open Circle Sapphire Diamond Necklace in 18k Rose Gold",open-circle-sapphire-diamond-necklace-in-18k-rose-gold,,28483,"Open Circle Sapphire Diamond Necklace
<ul>
 	<li>750 rose gold</li>
 	<li>Round diamonds</li>
 	<li>Round multicolor sapphires</li>
 	<li>Prong/claw setting</li>
 	<li>Pendant diameter: 36mm</li>
 	<li>42/45cm chain, lobster clasp</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-05-30 10:53:55",2,closed,P28373KP18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/05/P28373KP18V01001_221207_A.jpg ! alt : sapphire diamond open circle necklace ! title : P28373KP18V01001_221207_A ! desc :  ! caption : ",,https://eji.com.hk/product/open-circle-sapphire-diamond-necklace-in-18k-rose-gold/,simple,,"JCK 2022|JCK 2022 > Necklaces",,,Diamond|Sapphire,0|1|0,,,,,,,,Round,1|1|0,,Circle|Geometric,2|1|0,
